3.11,0.8,0.2,0.1,0,0.03,0.11,165.64,1141.86,85.52,11
4.75,1.52,0,0.01,0.03,0.12,0.02,109.64,771.18,46.01,11
14.96,3.59,0,0.07,0.2,0.14,0.03,1754.78,1263.13,67.73,11
10.52,0.67,0,0.1,0.07,0.02,0.05,4406.03,946.96,59.81,11
7.38,0.96,0.26,0.27,0.07,0.13,0.07,4047.31,869.87,83.87,11
6,0.86,0.07,0.03,0.03,0.05,0.02,1712.22,1193.13,26.58,11
6.52,1.48,0.08,0.04,0.02,0.05,0.03,3514.22,1168.61,89.43,11
6.32,1.24,0.13,0.05,0.02,0.02,0.00427,1704.21,893.13,105.98,11
6.67,1.46,0.05,0.05,0.04,0.05,0.02,380.29,59.16,74.53,11
6.28,1.73,0.14,0.05,0.05,0.07,0.04,2874.02,989.93,140.77,11
6.14,2.17,0.08,0.05,0.04,0.06,0.05,2723.27,1247.04,87.74,11
6.99,0.91,0.17,0.09,0.05,0.02,0,3677.08,240.73,84.6,11
6.3,0.68,0.12,0.12,0.06,0.11,0.02,4803.54,208.66,96.27,11
6.91,1.25,0.08,0.05,0.02,0.12,0.02,2695.52,258.4,47.73,11
12.9,0.98,0.07,0.05,0.06,0.08,0.04,4425.11,414.12,51.85,11
6.66,0.94,0.14,0.05,0.04,0.09,0.03,2711.81,740.96,90.8,11
8.59,1.47,0.14,0.06,0.08,0.04,0.08,2398.8,1617.42,35.28,11
6.02,2.36,0.15,0.04,0.05,0.03,0.05,99.58,1409.59,130.74,11
10.72,0.85,0.12,0.05,0.11,0.1,0.06,5678.71,889.35,79.61,11
11.59,0.88,0.1,0.04,0.11,0.1,0.04,5534.12,1008.71,90.88,11
3.42,2.04,0.18,0.06,0.03,0.06,0.04,115.17,1284.63,67.38,11
8.95,0.89,0.22,0.09,0.06,0.04,0.03,4769.24,968.89,75.31,11
3.39,1.6,0.36,0.06,0.02,0.05,0.01,96.61,895.09,115.05,11
10.6,0.79,0.06,0.05,0.1,0.07,0.05,4563.99,1015.12,84.02,11
2.83,1.69,0.18,0.08,0.04,0.06,0.04,181.73,1233.6,181.26,11
8.45,1.01,0.1,0.04,0.08,0.12,0.03,3982.67,586.12,114.06,11
7.92,0.63,0.17,0.07,0.12,0.06,0.04,5204.77,1043.45,106.76,11
0.97,0.71,0.17,0.04,0.04,0.05,0.06,89.93,55.4,82.18,11
9.96,1,0.07,0.09,0.04,0.02,0.02,5249.73,791.59,98.94,11
13.66,0.83,0.07,0.06,0.11,0.05,0.01,3919.14,583.6,49.46,11
9.58,1.45,0.08,0.06,0.05,0.09,0.01,3478.94,791.77,59.37,11
10.61,2.19,0.21,0.08,0.1,0.08,0.02,3109.07,478.48,66.5,11
8.83,0.66,0.14,0.08,0.1,0.06,0.03,4330.53,783.24,77.4,11
3.41,0.64,0.08,0.04,0.09,0.1,0.05,1759.6,996.42,50.81,11
7.91,0.72,0.04,0.05,0.09,0.05,0.02,3633.63,642.55,51.88,11
8.1,1.68,0.14,0.1,0.06,0.07,0.05,2539.59,1052.06,71.22,11
5.62,1.9,0.09,0.03,0.05,0.13,0.05,2363.33,1448.6,86.39,11
7.52,0.8,0.15,0.09,0.08,0.1,0.04,3474.22,1093.17,55.26,11
11.62,2.52,0.23,0.11,0.13,0.06,0.02,3767.19,450.78,92.95,11
8.48,1.23,0.11,0.08,0.06,0.14,0.02,4210.3,219.33,82.24,11
6.87,2.29,0.08,0.08,0.09,0.08,0.05,2411.38,1199.8,60.4,11
13.21,0.87,0.12,0.1,0.09,0.07,0.05,5362.1,1074.01,113.73,11
9.17,0.72,0.09,0.08,0.05,0.04,0.05,4787.89,811.44,79.5,11
9.75,3.71,0.09,0.04,0.04,0.08,0.03,261.92,51.08,79.09,11
9.87,2.24,0.22,0.13,0.04,0.06,0.08,515.99,56.08,325.19,11
13.11,0.88,0.13,0.11,0.07,0.03,0.07,5012.56,1059.67,110.7,11
2.54,0.97,0.11,0.07,0.04,0.05,0.03,121.73,1044.16,37.1,11
6.29,1.09,0.14,0.06,0.07,0.09,0.03,2267.99,830.33,59.77,11
2.01,1.07,0.18,0.09,0.02,0.03,0.02,101.51,1043.33,95.2,11
5.27,0.72,0.12,0.05,0.07,0.14,0.03,2967.44,221.73,59.68,11
9.71,1.03,0.14,0.09,0.13,0.03,0.03,4648.77,851.6,131.2,11
2.54,1.91,0.27,0.04,0.05,0.05,0.04,104.79,1085.96,63.03,11
2.37,1.25,0.33,0.05,0.03,0.08,0.02,84.25,1098.02,41.9,11
8.88,1.21,0.08,0.04,0.03,0.06,0.05,2043.28,570.07,36.32,11
6.28,1.34,0.22,0.05,0.05,0.09,0.02,2418.63,511.19,85.24,11
9.84,0.6,0.06,0.09,0.15,0.05,0.07,3575.3,986.46,74.36,11
4.77,1.49,0.23,0.08,0.04,0.08,0.05,115.3,478.7,34.88,11
3.13,2.32,0.17,0.04,0.00481,0.03,0.06,84.57,885.29,75.8,11
2.89,1.61,0.11,0.06,0.01,0.03,0.02,82.72,912.72,49,11
5.52,2.09,0.09,0.07,0.1,0.12,0.05,2219.23,1734.11,84.75,11
8.6,0.84,0.06,0.08,0.12,0.07,0.04,3870.69,764.24,129.4,11
8.68,0.76,0.04,0.07,0.11,0.07,0.05,3801.52,813.63,58.58,11
9.87,1.02,0.24,0.1,0.14,0.08,0.04,5534.9,988.65,79.69,11
6.19,1.89,0.16,0.09,0.09,0.08,0.05,2496.65,316.04,85.95,11
2.67,1.33,0.32,0.05,0.02,0.05,0.03,87.51,1276.9,36.7,11
8.79,0.93,0.13,0.1,0.06,0.12,0.03,2780.87,656.81,29.38,11
10.22,1.08,0.14,0.1,0.12,0.06,0.04,4908.67,893.06,74.98,11
7.29,2.35,0.13,0.09,0.1,0.16,0.03,2765.72,1791.19,124.32,11
6.23,0.67,0.27,0.1,0.12,0.11,0.03,6898.52,301.45,136.65,11
4.99,1.82,0.06,0.02,0.04,0.06,0.03,129.92,1155.04,177.63,11
3.6,1.39,0.28,0.1,0.07,0.07,0.03,138.55,1173.7,163.46,11
8.63,2.59,0.31,0.15,0.13,0.11,0.04,3618.21,203.91,103.94,11
6.59,0.98,0.12,0.1,0.08,0.13,0.04,2973.34,1058.88,82.84,11
10.43,1.66,0.19,0.12,0.05,0.13,0.05,4086.72,461.94,169.12,11
7.61,2.1,0.26,0.12,0.13,0.11,0.03,3572.44,205.5,107.11,11
7.78,0.99,0.09,0.07,0.05,0.21,0.02,4160.11,1444.93,34.26,11
10.12,0.81,0.15,0.1,0.11,0.08,0.04,5088.45,1018.89,91.52,11
3.57,1.89,0.66,0.09,0.04,0.05,0.06,96.89,976.72,113.42,11
4.38,2.14,0.14,0.1,0.06,0.06,0.03,131.94,1078.81,112.22,11
10.56,1.9,0.2,0.08,0.17,0.09,0.02,4006.43,455.19,73.15,11
4.91,2.5,0.24,0.11,0.06,0.14,0.02,98.37,798.46,104.02,11
15.79,1.07,0.17,0.11,0.08,0.11,0.05,5011.37,440.33,72.84,11
4.23,1.33,0.24,0.15,0.07,0.12,0.03,113.17,495.91,34.84,11
13.43,2.68,0.21,0.16,0.09,0.09,0.02,3836.9,339.74,95.29,11
6.63,0.71,0.17,0.06,0.17,0.12,0.00934,5808.64,289,167.43,11
1.35,0.36,0.27,0.04,0.02,0.12,0,103.03,297.35,60.52,11
7.36,2.63,0.26,0.08,0.1,0.12,0.05,2410.9,1369.31,96.42,11
2.97,1.76,0.22,0.1,0.04,0.06,0.03,151.77,1575.56,70.44,11
10.67,0.88,0.19,0.1,0.11,0.1,0.02,4561.31,242.78,131.02,11
5.3,1.39,0.39,0.1,0.04,0.11,0.07,103.79,1031.3,78.84,11
5.64,0.73,0.25,0.07,0.04,0.11,0.02,3756.14,670.38,76.89,11
14.78,3.3,0.25,0.13,0.14,0.12,0.02,4428.93,393.5,124.37,11
12.93,3.16,0.09,0.05,0.05,0.11,0.03,2828.41,1773.49,103.02,11
13.28,0.85,0.12,0.11,0.09,0.08,0.05,5338.26,244.28,53.23,11
3.29,2.08,0.12,0.08,0.02,0.06,0.03,110.04,1111.39,63.43,11
7.51,2.16,0.35,0.12,0.15,0.09,0.07,3142.46,315.83,105.52,11
10.13,0.96,0.17,0.1,0.07,0.1,0.02,3749.58,178.89,116.2,11
10.75,0.94,0.11,0.07,0.15,0.11,0.0054,4955.15,304.32,121.92,11
8.48,0.87,0.14,0.11,0.11,0.16,0.02,5246.44,233.91,122.46,11
3.66,1.18,0.18,0.12,0.06,0.08,0.02,99.62,608.99,44,11
